time,industry,city,total
2016-06-01,住宿及餐飲業,雲林縣,1019863
2016-06-01,住宿及餐飲業,新北市,10160641
2016-06-01,住宿及餐飲業,新竹市,2350529
2016-06-01,住宿及餐飲業,新竹縣,2103358
2016-06-01,住宿及餐飲業,嘉義市,1384160
2016-06-01,住宿及餐飲業,嘉義縣,809045
2016-06-01,住宿及餐飲業,彰化縣,2270196
2016-06-01,住宿及餐飲業,臺中市,11406426
2016-06-01,住宿及餐飲業,臺北市,31873482
2016-06-01,住宿及餐飲業,臺東縣,1299131
2016-06-01,住宿及餐飲業,臺南市,6358038
2016-06-01,住宿及餐飲業,澎湖縣,548742
2016-06-01,批發及零售業,宜蘭縣,15549838
2016-06-01,批發及零售業,花蓮縣,11615339
2016-06-01,批發及零售業,金門縣,3897627
2016-06-01,批發及零售業,南投縣,13887065
2016-06-01,批發及零售業,屏東縣,28484655
2016-06-01,批發及零售業,苗栗縣,22068632
2016-06-01,批發及零售業,桃園市,183370690
2016-06-01,批發及零售業,高雄市,233239591
2016-06-01,批發及零售業,基隆市,8751058
2016-06-01,批發及零售業,連江縣,204878
2016-06-01,批發及零售業,雲林縣,22803679
2016-06-01,批發及零售業,新北市,311753170
2016-06-01,批發及零售業,新竹市,49065691
2016-06-01,批發及零售業,新竹縣,39721442
2016-06-01,批發及零售業,嘉義市,18447836
2016-06-01,批發及零售業,嘉義縣,13329440
2016-06-01,批發及零售業,彰化縣,58401886
2016-06-01,批發及零售業,臺中市,226022874
2016-06-01,批發及零售業,臺北市,836373844
2016-06-01,批發及零售業,臺東縣,6569040
2016-06-01,批發及零售業,臺南市,119460319
2016-06-01,批發及零售業,澎湖縣,2551979
2016-06-01,金融及保險業,宜蘭縣,1263788
2016-06-01,金融及保險業,花蓮縣,878147
2016-06-01,金融及保險業,金門縣,79675
2016-06-01,金融及保險業,南投縣,987099
2016-06-01,金融及保險業,屏東縣,1457999
2016-06-01,金融及保險業,苗栗縣,1094728
2016-06-01,金融及保險業,桃園市,9453134
2016-06-01,金融及保險業,高雄市,12059254
2016-06-01,金融及保險業,基隆市,829782
2016-06-01,金融及保險業,連江縣,1233
2016-06-01,金融及保險業,雲林縣,1345231
2016-06-01,金融及保險業,新北市,15620438
2016-06-01,金融及保險業,新竹市,3031473
2016-06-01,金融及保險業,新竹縣,1646969
2016-06-01,金融及保險業,嘉義市,1344445
2016-06-01,金融及保險業,嘉義縣,904338
2016-06-01,金融及保險業,彰化縣,2801506
2016-06-01,金融及保險業,臺中市,15733679
2016-06-01,金融及保險業,臺北市,275914119
2016-06-01,金融及保險業,臺東縣,396190
2016-06-01,金融及保險業,臺南市,6167311
2016-06-01,金融及保險業,澎湖縣,132912
2016-06-01,農、林、漁、牧業,宜蘭縣,132465
2016-06-01,農、林、漁、牧業,花蓮縣,61291
2016-06-01,農、林、漁、牧業,金門縣,15599
2016-06-01,農、林、漁、牧業,南投縣,257494
2016-06-01,農、林、漁、牧業,屏東縣,741463
2016-06-01,農、林、漁、牧業,苗栗縣,85766
2016-06-01,農、林、漁、牧業,桃園市,425714
2016-06-01,農、林、漁、牧業,高雄市,1093908
2016-06-01,農、林、漁、牧業,基隆市,9763
2016-06-01,農、林、漁、牧業,連江縣,710
2016-06-01,農、林、漁、牧業,雲林縣,203390
2016-06-01,農、林、漁、牧業,新北市,420032
2016-06-01,農、林、漁、牧業,新竹市,30985
2016-06-01,農、林、漁、牧業,新竹縣,115016
2016-06-01,農、林、漁、牧業,嘉義市,21630
2016-06-01,農、林、漁、牧業,嘉義縣,349734
2016-06-01,農、林、漁、牧業,彰化縣,459774
2016-06-01,農、林、漁、牧業,臺中市,377753
2016-06-01,農、林、漁、牧業,臺北市,1832773
2016-06-01,農、林、漁、牧業,臺東縣,97266
2016-06-01,農、林、漁、牧業,臺南市,913871
2016-06-01,農、林、漁、牧業,澎湖縣,7596
2016-06-01,運輸及倉儲業,宜蘭縣,1502010
2016-06-01,運輸及倉儲業,花蓮縣,841111
2016-06-01,運輸及倉儲業,金門縣,670168
2016-06-01,運輸及倉儲業,南投縣,794875
2016-06-01,運輸及倉儲業,屏東縣,765035
2016-06-01,運輸及倉儲業,苗栗縣,976501
2016-06-01,運輸及倉儲業,桃園市,30963484
2016-06-01,運輸及倉儲業,高雄市,22737389
2016-06-01,運輸及倉儲業,基隆市,4871263
2016-06-01,運輸及倉儲業,連江縣,170632
2016-06-01,運輸及倉儲業,雲林縣,1966970
2016-06-01,運輸及倉儲業,新北市,19097518
2016-06-01,運輸及倉儲業,新竹市,1217606
2016-06-01,運輸及倉儲業,新竹縣,1592751
2016-06-01,運輸及倉儲業,嘉義市,853122
2016-06-01,運輸及倉儲業,嘉義縣,1799424
2016-06-01,運輸及倉儲業,彰化縣,2344647
2016-06-01,運輸及倉儲業,臺中市,9955294
2016-06-01,運輸及倉儲業,臺北市,84767990
2016-06-01,運輸及倉儲業,臺東縣,581593
2016-06-01,運輸及倉儲業,臺南市,3965068
2016-06-01,運輸及倉儲業,澎湖縣,588858
2016-06-01,製造業,宜蘭縣,15760083
2016-06-01,製造業,花蓮縣,3402394
2016-06-01,製造業,金門縣,2693681
2016-06-01,製造業,南投縣,18545036
2016-06-01,製造業,屏東縣,17566913
2016-06-01,製造業,苗栗縣,82133089
2016-06-01,製造業,桃園市,241415112
2016-06-01,製造業,高雄市,283587511
2016-06-01,製造業,基隆市,3626217
2016-06-01,製造業,連江縣,92746
2016-06-01,製造業,雲林縣,147702951
2016-06-01,製造業,新北市,243084268
2016-06-01,製造業,新竹市,247298774
2016-06-01,製造業,新竹縣,93592541
2016-06-01,製造業,嘉義市,3865224
2016-06-01,製造業,嘉義縣,21879426
2016-06-01,製造業,彰化縣,122053571
2016-06-01,製造業,臺中市,251315849
2016-06-01,製造業,臺北市,285634769
2016-06-01,製造業,臺東縣,648508
2016-06-01,製造業,臺南市,175341189
2016-06-01,製造業,澎湖縣,122819
2016-06-01,醫療保健及社會工作服務業,宜蘭縣,4588
2016-06-01,醫療保健及社會工作服務業,花蓮縣,15078
2016-06-01,醫療保健及社會工作服務業,金門縣,94
2016-06-01,醫療保健及社會工作服務業,南投縣,4835
